nom;prenom;email;telephone;poste;entreprise;localisation;linkedin;source;tags;notes
;;;;Directeur Administratif et Financier;Creocean;La Rochelle (17);;Taleez;FINANCE,JOB,DAF,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Comptable General (F/H/NG) - CDI | Date: NC (annonce active sept. 2026) | Effectif: 50-500 | CA: NC | Salaire: NC | Source: Taleez | Lien: https://taleez.com/apply/comptable-general-f-h-ng-la-rochelle-creocean-cdi | Contexte: Bureau d'etudes maritime et littoral (groupe Keran) qui renforce son equipe comptable - tableaux de bord mensuels et bilan annuel. Date de publication non verifiable (site bloque).
;;;;Directrice des Ressources Humaines;Creocean;La Rochelle (17);;Taleez;FINANCE,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Comptable General (F/H/NG) - CDI | Date: NC (annonce active sept. 2026) | Effectif: 50-500 | CA: NC | Salaire: NC | Source: Taleez | Lien: https://taleez.com/apply/comptable-general-f-h-ng-la-rochelle-creocean-cdi | Contexte: Bureau d'etudes maritime et littoral (groupe Keran) qui renforce son equipe comptable - tableaux de bord mensuels et bilan annuel. Date de publication non verifiable (site bloque).
;;;;Directeur Financier Groupe;Groupe Gazechim Services;Beziers (34);;Site entreprise;FINANCE,JOB,DAF,500-2000,CONTACT_1,CONTACT_NON_SOURCE;Poste: Comptable H/F - CDI | Date: NC (annonce active sept. 2026) | Effectif: 500-2000 | CA: NC | Salaire: NC | Source: Site entreprise (gazechim.com) | Lien: https://www.gazechim.com/offres-emploi/comptabilite/comptable-h-f-cdi/ | Contexte: Groupe familial international (distribution composites | fluides frigorigenes | gaz liquefies) qui recrute en interne sur sa fonction comptable. Lieu siege Beziers a confirmer.
;;;;Directeur des Ressources Humaines;Groupe Gazechim Services;Beziers (34);;Site entreprise;FINANCE,JOB,DRH,500-2000,CONTACT_2,CONTACT_NON_SOURCE;Poste: Comptable H/F - CDI | Date: NC (annonce active sept. 2026) | Effectif: 500-2000 | CA: NC | Salaire: NC | Source: Site entreprise (gazechim.com) | Lien: https://www.gazechim.com/offres-emploi/comptabilite/comptable-h-f-cdi/ | Contexte: Groupe familial international (distribution composites | fluides frigorigenes | gaz liquefies) qui recrute en interne sur sa fonction comptable. Lieu siege Beziers a confirmer.
;;;;Directeur Administratif et Financier;Fulll;Lyon (69);;Welcome to the Jungle;FINANCE,JOB,DAF,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Comptable General F/H - CDI | Date: NC (annonce active sept. 2026) | Effectif: 50-500 | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/fulll/jobs/comptable-general-f-h_lyon | Contexte: Editeur francais de logiciels pour la profession comptable en croissance - creation/renfort d'un poste de comptable general au siege lyonnais.
;;;;Head of People / DRH;Fulll;Lyon (69);;Welcome to the Jungle;FINANCE,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Comptable General F/H - CDI | Date: NC (annonce active sept. 2026) | Effectif: 50-500 | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/fulll/jobs/comptable-general-f-h_lyon | Contexte: Editeur francais de logiciels pour la profession comptable en croissance - creation/renfort d'un poste de comptable general au siege lyonnais.
;;;;Directeur Administratif et Financier;FREHA;Clichy (92);;Taleez;FINANCE,JOB,DAF,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Comptable general confirme H/F - CDI | Date: NC (annonce active sept. 2026) | Effectif: 50-500 | CA: NC | Salaire: NC | Source: Taleez | Lien: https://taleez.com/apply/comptable-general-h-f-cdi-clichy-92-clichy-freha-cdi | Contexte: Operateur associatif du logement accompagne en Ile-de-France qui renforce son pole comptable au siege de Clichy.
;;;;Directeur des Ressources Humaines;FREHA;Clichy (92);;Taleez;FINANCE,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Comptable general confirme H/F - CDI | Date: NC (annonce active sept. 2026) | Effectif: 50-500 | CA: NC | Salaire: NC | Source: Taleez | Lien: https://taleez.com/apply/comptable-general-h-f-cdi-clichy-92-clichy-freha-cdi | Contexte: Operateur associatif du logement accompagne en Ile-de-France qui renforce son pole comptable au siege de Clichy.
;;;;Directeur Administratif et Financier;Amarris Groupe;Saint-Herblain (44);;Taleez;FINANCE,JOB,DAF,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Controleur de gestion (F/H) | Date: NC (annonce active sept. 2026) | Effectif: NC | CA: NC | Salaire: NC | Source: Taleez | Lien: https://taleez.com/apply/controleur-de-gestion-f-h-saint-herblain-amarris-groupe-cdd | Contexte: Groupe independant d'expertise comptable et de conseil (Saint-Herblain) qui ouvre un poste de controle de gestion interne - contrat CDD signalant un besoin de structuration du pilotage.
;;;;Directeur des Ressources Humaines;Amarris Groupe;Saint-Herblain (44);;Taleez;FINANCE,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Controleur de gestion (F/H) | Date: NC (annonce active sept. 2026) | Effectif: NC | CA: NC | Salaire: NC | Source: Taleez | Lien: https://taleez.com/apply/controleur-de-gestion-f-h-saint-herblain-amarris-groupe-cdd | Contexte: Groupe independant d'expertise comptable et de conseil (Saint-Herblain) qui ouvre un poste de controle de gestion interne - contrat CDD signalant un besoin de structuration du pilotage.
