nom;prenom;email;telephone;poste;entreprise;localisation;linkedin;source;tags;notes
;;;;Responsable comptable / Chef comptable;APAJH du Val d'Oise;Taverny (95);;Taleez;FINANCE,JOB,CHEF_COMPTABLE,500-2000,CONTACT_1,CONTACT_NON_SOURCE;Poste: Comptable H/F (comptabilite generale - siege) | Date: 2026-09-01 | Effectif: 825 professionnels (23 etablissements) | CA: NC | Salaire: NC | Source: Taleez (page carriere APAJH 95) | Lien: https://taleez.com/apply/comptable-h-f-taverny-apajh-du-val-d-oise-cdi | Contexte: Association gestionnaire independante du handicap dans le 95 - 23 etablissements et services - siege de 39 personnes a Taverny. Offre comptable publiee le 01/09/2026 (recoupee LinkedIn Jobs 'il y a 3 jours'). Structure multi-etablissements avec comptabilite centralisee au siege.
;;;;DRH;APAJH du Val d'Oise;Taverny (95);;Taleez;FINANCE,JOB,DRH,500-2000,CONTACT_2,CONTACT_NON_SOURCE;Poste: Comptable H/F (comptabilite generale - siege) | Date: 2026-09-01 | Effectif: 825 professionnels (23 etablissements) | CA: NC | Salaire: NC | Source: Taleez (page carriere APAJH 95) | Lien: https://taleez.com/apply/comptable-h-f-taverny-apajh-du-val-d-oise-cdi | Contexte: Association gestionnaire independante du handicap dans le 95 - 23 etablissements et services - siege de 39 personnes a Taverny. Offre comptable publiee le 01/09/2026 (recoupee LinkedIn Jobs 'il y a 3 jours'). Structure multi-etablissements avec comptabilite centralisee au siege.
;;;;Associe / Directeur de bureau Expertise Comptable;ADVOLIS ORFIS;Villeurbanne (69);;Taleez;FINANCE,JOB,HIRING_MANAGER,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Collaborateur Comptable Senior H/F | Date: 2026-09-01 | Effectif: NC (cabinet independant multi-bureaux) | CA: NC | Salaire: NC | Source: Taleez (page carriere Advolis Orfis) | Lien: https://taleez.com/apply/collaborateur-comptable-senior-h-f-villeurbanne-advolis-orfis-cdi | Contexte: Cabinet d'audit et d'expertise comptable independant (hors Big 4 et hors reseaux nationaux), bureau de Villeurbanne. Offre publiee le 01/09/2026 - poste de comptable senior confirme. Recoupement LinkedIn Jobs : poste comptable general CDI Villeurbanne publie il y a 2 jours.
;;;;DRH;ADVOLIS ORFIS;Villeurbanne (69);;Taleez;FINANCE,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Collaborateur Comptable Senior H/F | Date: 2026-09-01 | Effectif: NC (cabinet independant multi-bureaux) | CA: NC | Salaire: NC | Source: Taleez (page carriere Advolis Orfis) | Lien: https://taleez.com/apply/collaborateur-comptable-senior-h-f-villeurbanne-advolis-orfis-cdi | Contexte: Cabinet d'audit et d'expertise comptable independant (hors Big 4 et hors reseaux nationaux), bureau de Villeurbanne. Offre publiee le 01/09/2026 - poste de comptable senior confirme. Recoupement LinkedIn Jobs : poste comptable general CDI Villeurbanne publie il y a 2 jours.
;;;;DAF / Directeur Administratif et Financier;Techmo Hygiene;Le Blanc-Mesnil (93);;Taleez;FINANCE,JOB,DAF,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Comptable General H/F (encadre 2 comptables fournisseurs) | Date: NC (offre active au 03/09/2026 - date de publication non verifiable, job boards bloques par le proxy) | Effectif: 280 salaries repartis sur 4 societes | CA: NC | Salaire: NC | Source: Taleez (page carriere Techmo Hygiene) - recoupee Jobintree ref 81388913 | Lien: https://taleez.com/apply/comptable-general-h-f-le-blanc-mesnil-techmo-hygiene-cdi | Contexte: Groupe familial independant fonde en 1947 (lutte antiparasitaire - 4 societes - 280 salaries) - siege ZI du Coudray au Blanc-Mesnil. Recherche un comptable general 7 ans d'experience PME sur SAGE 1000 avec encadrement temporaire de 2 comptables fournisseurs : signal de structuration de la fonction comptable.
;;;;DRH;Techmo Hygiene;Le Blanc-Mesnil (93);;Taleez;FINANCE,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Comptable General H/F (encadre 2 comptables fournisseurs) | Date: NC (offre active au 03/09/2026 - date de publication non verifiable, job boards bloques par le proxy) | Effectif: 280 salaries repartis sur 4 societes | CA: NC | Salaire: NC | Source: Taleez (page carriere Techmo Hygiene) - recoupee Jobintree ref 81388913 | Lien: https://taleez.com/apply/comptable-general-h-f-le-blanc-mesnil-techmo-hygiene-cdi | Contexte: Groupe familial independant fonde en 1947 (lutte antiparasitaire - 4 societes - 280 salaries) - siege ZI du Coudray au Blanc-Mesnil. Recherche un comptable general 7 ans d'experience PME sur SAGE 1000 avec encadrement temporaire de 2 comptables fournisseurs : signal de structuration de la fonction comptable.
;;;;Responsable Controle de Gestion (N+1 direct);FDG Group;Orly (94);;Taleez;FINANCE,JOB,RESP_CONTROLE_GESTION,500-2000,CONTACT_1,CONTACT_NON_SOURCE;Poste: Controleur de Gestion Operationnel H/F (+ Controleur de Gestion Corporate H/F ouvert en parallele) | Date: NC (offre active au 03/09/2026 - date de publication non verifiable, job boards bloques par le proxy) | Effectif: 630 salaries (2023) | CA: 117 M EUR (2023) | Salaire: NC | Source: Taleez (page carriere FDG Group) - recoupee Hellowork ref 72362063 et 70886474 | Lien: https://taleez.com/apply/controleur-de-gestion-operationnel-h-f-orly-fdg-group-cdi | Contexte: Groupe francais independant de creation et distribution de produits non alimentaires en GMS (textile - bazar - hygiene-beaute) base a Orly. Deux postes de controle de gestion ouverts simultanement (operationnel en business partner gammes + corporate) : signal net de renforcement de l'equipe controle de gestion.
;;;;DRH / Talent Acquisition;FDG Group;Orly (94);;Taleez;FINANCE,JOB,TALENT_ACQUISITION,500-2000,CONTACT_2,CONTACT_NON_SOURCE;Poste: Controleur de Gestion Operationnel H/F (+ Controleur de Gestion Corporate H/F ouvert en parallele) | Date: NC (offre active au 03/09/2026 - date de publication non verifiable, job boards bloques par le proxy) | Effectif: 630 salaries (2023) | CA: 117 M EUR (2023) | Salaire: NC | Source: Taleez (page carriere FDG Group) - recoupee Hellowork ref 72362063 et 70886474 | Lien: https://taleez.com/apply/controleur-de-gestion-operationnel-h-f-orly-fdg-group-cdi | Contexte: Groupe francais independant de creation et distribution de produits non alimentaires en GMS (textile - bazar - hygiene-beaute) base a Orly. Deux postes de controle de gestion ouverts simultanement (operationnel en business partner gammes + corporate) : signal net de renforcement de l'equipe controle de gestion.
;;;;President / Directeur General;Medimex;Sainte-Foy-les-Lyon (69);;CFNEWS;FINANCE,NEWS,DG,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Signal NEWS - OBO/LBO avec un fonds a impact | Date: NC (article CFNEWS 2026 - date exacte non verifiable, contenu sous paywall) | Effectif: NC | CA: ~30 M EUR (2025) | Salaire: NC | Source: CFNEWS (rubrique LBO/OBO) | Lien: https://www.cfnews.net/L-actualite/LBO/Operations/OBO/Medimex-s-eduque-au-LBO-avec-un-fonds-impact-554347 | Fonds: fonds a impact (nom non communique dans la partie publique de l'article) | Montant: NC | Contexte: PME lyonnaise (Sainte-Foy-les-Lyon) de distribution - maintenance et reconditionnement de dispositifs medicaux et materiel de reeducation - CA ~30 M EUR double en 3-4 ans avec une marge d'EBITDA ~15 pourcent. Entree d'un fonds a impact au capital : reporting investisseur - controle de gestion et structuration comptable a construire.
;;;;DRH;Medimex;Sainte-Foy-les-Lyon (69);;CFNEWS;FINANCE,NEWS,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Signal NEWS - OBO/LBO avec un fonds a impact | Date: NC (article CFNEWS 2026 - date exacte non verifiable, contenu sous paywall) | Effectif: NC | CA: ~30 M EUR (2025) | Salaire: NC | Source: CFNEWS (rubrique LBO/OBO) | Lien: https://www.cfnews.net/L-actualite/LBO/Operations/OBO/Medimex-s-eduque-au-LBO-avec-un-fonds-impact-554347 | Fonds: fonds a impact (nom non communique dans la partie publique de l'article) | Montant: NC | Contexte: PME lyonnaise (Sainte-Foy-les-Lyon) de distribution - maintenance et reconditionnement de dispositifs medicaux et materiel de reeducation - CA ~30 M EUR double en 3-4 ans avec une marge d'EBITDA ~15 pourcent. Entree d'un fonds a impact au capital : reporting investisseur - controle de gestion et structuration comptable a construire.
