nom;prenom;email;telephone;poste;entreprise;localisation;linkedin;source;tags;notes
;;;;Expert-comptable associe - Responsable du bureau d'Orvault;Adecia;Orvault (44);;HelloWork;FINANCE,JOB,HIRING_MANAGER,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Collaborateur comptable confirme F/H | Date: NC | Effectif: NC | CA: NC | Salaire: 34-37 k EUR | Source: HelloWork | Lien: https://www.hellowork.com/fr-fr/emplois/76710421.html | Contexte: L'agence Adecia d'Orvault se developpe et recrute un collaborateur comptable confirme (4 ans d'exp. min) sur un portefeuille PME, rattache a un manager.
;;;;DRH;Adecia;Orvault (44);;HelloWork;FINANCE,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Collaborateur comptable confirme F/H | Date: NC | Effectif: NC | CA: NC | Salaire: 34-37 k EUR | Source: HelloWork | Lien: https://www.hellowork.com/fr-fr/emplois/76710421.html | Contexte: L'agence Adecia d'Orvault se developpe et recrute un collaborateur comptable confirme (4 ans d'exp. min) sur un portefeuille PME, rattache a un manager.
;;;;Expert-comptable associe - Responsable du bureau de Paris;Soregor;Paris (75);;Wizbii;FINANCE,JOB,HIRING_MANAGER,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Chef de mission audit / expertise-comptable H/F | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Wizbii | Lien: https://www.wizbii.com/company/soregor/job/chef-de-mission-audit-expertise-comptable-h-f-2 | Contexte: Cabinet independant du Grand Ouest (siege Angers) qui recrute un chef de mission audit/expertise-comptable en CDI sur son site parisien. Recrutements paralleles a Tours, Saumur, Blois, Valognes, Isigny-sur-Mer et Saint-Lo.
;;;;DRH;Soregor;Angers (49);;Wizbii;FINANCE,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Chef de mission audit / expertise-comptable H/F | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Wizbii | Lien: https://www.wizbii.com/company/soregor/job/chef-de-mission-audit-expertise-comptable-h-f-2 | Contexte: Cabinet independant du Grand Ouest (siege Angers) qui recrute un chef de mission audit/expertise-comptable en CDI sur son site parisien. Recrutements paralleles a Tours, Saumur, Blois, Valognes, Isigny-sur-Mer et Saint-Lo.
;;;;Directeur de bureau - Expert-comptable associe Villeneuve-d'Ascq;Sadec Akelys;Villeneuve-d'Ascq (59);;Villeneuve-d-Ascq-Emplois;FINANCE,JOB,HIRING_MANAGER,500-2000,CONTACT_1,CONTACT_NON_SOURCE;Poste: Chef de mission comptable H/F CDI | Date: NC | Effectif: 620 | CA: NC | Salaire: NC | Source: Villeneuve-d-Ascq-Emplois | Lien: https://www.villeneuve-d-ascq-emplois.com/emplois/81943748.html | Contexte: Cabinet independant de conseil, audit et expertise comptable (620 collaborateurs, 30 bureaux, 18000 clients) qui recrute un chef de mission comptable pour son implantation de Villeneuve-d'Ascq.
;;;;DRH;Sadec Akelys;Villeneuve-d'Ascq (59);;Villeneuve-d-Ascq-Emplois;FINANCE,JOB,DRH,500-2000,CONTACT_2,CONTACT_NON_SOURCE;Poste: Chef de mission comptable H/F CDI | Date: NC | Effectif: 620 | CA: NC | Salaire: NC | Source: Villeneuve-d-Ascq-Emplois | Lien: https://www.villeneuve-d-ascq-emplois.com/emplois/81943748.html | Contexte: Cabinet independant de conseil, audit et expertise comptable (620 collaborateurs, 30 bureaux, 18000 clients) qui recrute un chef de mission comptable pour son implantation de Villeneuve-d'Ascq.
;;;;Expert-comptable associe - Dirigeant E2CA Lorient;E2CA;Queven (56);;France Travail;FINANCE,JOB,HIRING_MANAGER,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Reviseur comptable H/F en cabinet | Date: NC | Effectif: 50-99 | CA: NC | Salaire: NC | Source: France Travail | Lien: https://candidat.francetravail.fr/offres/emploi/comptable/morbihan/s12m1d56 | Contexte: Groupe E2CA (La Fleche, Le Mans, Montval-sur-Loir, Carhaix, Lorient/Queven) recherche un reviseur en cabinet comptable en charge d'un portefeuille clients TPE-PME.
;;;;DRH;E2CA;Queven (56);;France Travail;FINANCE,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Reviseur comptable H/F en cabinet | Date: NC | Effectif: 50-99 | CA: NC | Salaire: NC | Source: France Travail | Lien: https://candidat.francetravail.fr/offres/emploi/comptable/morbihan/s12m1d56 | Contexte: Groupe E2CA (La Fleche, Le Mans, Montval-sur-Loir, Carhaix, Lorient/Queven) recherche un reviseur en cabinet comptable en charge d'un portefeuille clients TPE-PME.
;;;;Associe Audit - Responsable du bureau de Lyon;Groupe Aurys;Lyon (69);;HappyCab;FINANCE,JOB,HIRING_MANAGER,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Chef de mission audit Lyon H/F | Date: NC | Effectif: 170 | CA: NC | Salaire: NC | Source: HappyCab | Lien: https://happycab.fr/entreprise/groupe-aurys/offre-emploi/chef-de-mission-audit-lyon-h-f--aIwSx7eQc | Contexte: Groupe Aurys (audit, expertise comptable et conseil financier, 170 collaborateurs, 23 associes, 10 implantations) recrute un chef de mission audit a Lyon. Groupe en croissance externe (rapprochement SEC3 Vincennes le 4 septembre 2026).
;;;;DRH;Groupe Aurys;Lyon (69);;HappyCab;FINANCE,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Chef de mission audit Lyon H/F | Date: NC | Effectif: 170 | CA: NC | Salaire: NC | Source: HappyCab | Lien: https://happycab.fr/entreprise/groupe-aurys/offre-emploi/chef-de-mission-audit-lyon-h-f--aIwSx7eQc | Contexte: Groupe Aurys (audit, expertise comptable et conseil financier, 170 collaborateurs, 23 associes, 10 implantations) recrute un chef de mission audit a Lyon. Groupe en croissance externe (rapprochement SEC3 Vincennes le 4 septembre 2026).
Remaud;Philippe;;;Directeur general;Cogedis;Saint-Renan (29);;Le Journal des Entreprises;FINANCE,NEWS,DG,500-2000,CONTACT_1;Poste: Direction generale | Date: 2026-09-01 | Effectif: 1200 | CA: 110 M EUR | Salaire: NC | Source: Le Journal des Entreprises | Lien: https://www.lejournaldesentreprises.com/article/cogedis-et-icoopa-fusionnent-pour-former-un-groupe-de-110-millions-deuros-de-chiffre-daffaires-2147363 | Contexte: L'AGC Icoopa a officiellement rejoint le groupe Cogedis le 1er septembre 2026, creant un groupe independant de 110 M EUR de CA, 1200 collaborateurs, 100 agences et 23000 clients. Integration et harmonisation des equipes en cours.
;;;;DRH;Cogedis;Saint-Renan (29);;Le Journal des Entreprises;FINANCE,NEWS,DRH,500-2000,CONTACT_2,CONTACT_NON_SOURCE;Poste: Direction generale | Date: 2026-09-01 | Effectif: 1200 | CA: 110 M EUR | Salaire: NC | Source: Le Journal des Entreprises | Lien: https://www.lejournaldesentreprises.com/article/cogedis-et-icoopa-fusionnent-pour-former-un-groupe-de-110-millions-deuros-de-chiffre-daffaires-2147363 | Contexte: L'AGC Icoopa a officiellement rejoint le groupe Cogedis le 1er septembre 2026, creant un groupe independant de 110 M EUR de CA, 1200 collaborateurs, 100 agences et 23000 clients. Integration et harmonisation des equipes en cours.
;;;;President - Directeur general;Inelys;Lyon (69);;Lyon Entreprises;FINANCE,NEWS,DG,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: President / Directeur general | Date: 2026-09-01 | Effectif: 380 | CA: 42 M EUR | Salaire: NC | Source: Lyon Entreprises | Lien: https://www.lyon-entreprises.com/actualites/article/inelys-se-rapproche-davizeo-et-atteint-42-me-de-chiffre-daffaires | Contexte: Inelys (Lyon, Paris, Annecy) integre le cabinet Avizeo (100 collaborateurs, 6 associes, 4 bureaux Lyon / Villefranche-sur-Saone / L'Arbresle / Bourg-en-Bresse, 10 M EUR de CA), 4e operation de 2026 apres Fidag, Didier Desbois et Eklys. Fonds: Credit Mutuel Equity | Montant: NC
;;;;DRH;Inelys;Lyon (69);;Lyon Entreprises;FINANCE,NEWS,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: President / Directeur general | Date: 2026-09-01 | Effectif: 380 | CA: 42 M EUR | Salaire: NC | Source: Lyon Entreprises | Lien: https://www.lyon-entreprises.com/actualites/article/inelys-se-rapproche-davizeo-et-atteint-42-me-de-chiffre-daffaires | Contexte: Inelys (Lyon, Paris, Annecy) integre le cabinet Avizeo (100 collaborateurs, 6 associes, 4 bureaux Lyon / Villefranche-sur-Saone / L'Arbresle / Bourg-en-Bresse, 10 M EUR de CA), 4e operation de 2026 apres Fidag, Didier Desbois et Eklys. Fonds: Credit Mutuel Equity | Montant: NC
