nom;prenom;email;telephone;poste;entreprise;localisation;linkedin;source;tags;notes
;;;;DRH Groupe;Médipôle Hôpital Mutualiste;Villeurbanne (69);;Hellowork;FINANCE,JOB,DRH,500-2000,CONTACT_1,CONTACT_NON_SOURCE;Poste: Responsable Paie Groupe H/F (CDI) | Date: 2026-07-16 | Effectif: 1200 salaries (groupe Resamut - 5 societes - 2100 bulletins/mois) | CA: NC | Salaire: 42200-62500 EUR brut/an | Source: Hellowork | Lien: https://www.hellowork.com/fr-fr/emplois/78155052.html | Contexte: Remplacement suite a un depart en retraite sur le pilotage d une equipe de 9 gestionnaires de paie. Poste d expert cle: harmonisation des process et optimisation des outils paie/SIRH (Cegid HRU, Octime).
;;;;Responsable Recrutement / Talent Acquisition;Médipôle Hôpital Mutualiste;Villeurbanne (69);;Hellowork;FINANCE,JOB,TALENT_ACQUISITION,500-2000,CONTACT_2,CONTACT_NON_SOURCE;Poste: Responsable Paie Groupe H/F (CDI) | Date: 2026-07-16 | Effectif: 1200 salaries (groupe Resamut - 5 societes - 2100 bulletins/mois) | CA: NC | Salaire: 42200-62500 EUR brut/an | Source: Hellowork | Lien: https://www.hellowork.com/fr-fr/emplois/78155052.html | Contexte: Remplacement suite a un depart en retraite sur le pilotage d une equipe de 9 gestionnaires de paie. Poste d expert cle: harmonisation des process et optimisation des outils paie/SIRH (Cegid HRU, Octime).
;;;;Directeur Administratif et Financier;Polène;Paris (75);;ZipRecruiter;FINANCE,JOB,DAF,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Responsable Tresorerie H/F (CDI) | Date: 2026-09-05 | Effectif: NC | CA: NC | Salaire: NC | Source: ZipRecruiter | Lien: https://www.ziprecruiter.fr/jobs/589486200-responsable-tresorerie-h-f-a-polene | Contexte: Maison de maroquinerie francaise qui CREE sa fonction tresorerie de zero - poser les fondations, definir les process et les bonnes pratiques. Rattachement direct a la Direction Financiere, bureaux Paris 2e (rue du Louvre).
;;;;DRH;Polène;Paris (75);;ZipRecruiter;FINANCE,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Responsable Tresorerie H/F (CDI) | Date: 2026-09-05 | Effectif: NC | CA: NC | Salaire: NC | Source: ZipRecruiter | Lien: https://www.ziprecruiter.fr/jobs/589486200-responsable-tresorerie-h-f-a-polene | Contexte: Maison de maroquinerie francaise qui CREE sa fonction tresorerie de zero - poser les fondations, definir les process et les bonnes pratiques. Rattachement direct a la Direction Financiere, bureaux Paris 2e (rue du Louvre).
;;;;Directeur Financier Groupe;Kersia;Dinard (35);;AFDCC;FINANCE,JOB,CFO,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Cash & Credit Manager H/F (CDI) | Date: NC (offre active au 2026-09-12) | Effectif: NC - effectif groupe A VALIDER (proche du plafond 2000) | CA: NC | Salaire: NC | Source: AFDCC | Lien: https://www.afdcc.fr/offre-emploi/cash-credit-manager/ | Contexte: Groupe industriel international (biosecurite alimentaire) qui structure sa fonction cash & credit. Rattachement au Treasury & Credit Management Manager au sein de la Direction Financiere, perimetre France et international.
;;;;DRH Groupe;Kersia;Dinard (35);;AFDCC;FINANCE,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Cash & Credit Manager H/F (CDI) | Date: NC (offre active au 2026-09-12) | Effectif: NC - effectif groupe A VALIDER (proche du plafond 2000) | CA: NC | Salaire: NC | Source: AFDCC | Lien: https://www.afdcc.fr/offre-emploi/cash-credit-manager/ | Contexte: Groupe industriel international (biosecurite alimentaire) qui structure sa fonction cash & credit. Rattachement au Treasury & Credit Management Manager au sein de la Direction Financiere, perimetre France et international.
;;;;Responsable Paie Groupe;Médipôle Hôpital Mutualiste;Villeurbanne (69);;Site carriere Medipole Lyon-Villeurbanne;FINANCE,JOB,HIRING_MANAGER,500-2000,CONTACT_1,CONTACT_NON_SOURCE;Poste: Gestionnaire de paie H/F (CDI) | Date: 2026-08-02 | Effectif: 1200 salaries (groupe Resamut - 2100 bulletins/mois) | CA: NC | Salaire: NC | Source: Site carriere Medipole Lyon-Villeurbanne | Lien: https://www.medipolelyonvilleurbanne.fr/2026/08/02/gestionnaire-de-paie-h-f/ | Contexte: Deuxieme recrutement paie ouvert en parallele du poste de Responsable Paie Groupe - l equipe paie de 9 personnes se reconstruit. Environnement Cegid HRU / Octime - convention FEHAP 51.
;;;;Directeur Administratif et Financier;Médipôle Hôpital Mutualiste;Villeurbanne (69);;Site carriere Medipole Lyon-Villeurbanne;FINANCE,JOB,DAF,500-2000,CONTACT_2,CONTACT_NON_SOURCE;Poste: Gestionnaire de paie H/F (CDI) | Date: 2026-08-02 | Effectif: 1200 salaries (groupe Resamut - 2100 bulletins/mois) | CA: NC | Salaire: NC | Source: Site carriere Medipole Lyon-Villeurbanne | Lien: https://www.medipolelyonvilleurbanne.fr/2026/08/02/gestionnaire-de-paie-h-f/ | Contexte: Deuxieme recrutement paie ouvert en parallele du poste de Responsable Paie Groupe - l equipe paie de 9 personnes se reconstruit. Environnement Cegid HRU / Octime - convention FEHAP 51.
;;;;President;Medimex;Sainte-Foy-les-Lyon (69);;CFNEWS;FINANCE,NEWS,CEO,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Tresorier ou credit manager ou RAF | Date: 2026-01-09 | Effectif: NC | CA: environ 30 M EUR en 2025 | Salaire: NC | Source: CFNEWS | Lien: https://www.cfnews.net/L-actualite/LBO/Operations/OBO/Medimex-s-eduque-au-LBO-avec-un-fonds-impact-554347 | Contexte: PME lyonnaise de distribution maintenance et reconditionnement de dispositifs medicaux de reeducation qui realise un OBO avec un fonds a impact (marge d'EBITDA d'environ 15 pourcent). Une operation de dette de ce type declenche la structuration de la fonction financiere (tresorerie reporting credit). | Fonds: fonds a impact non nomme dans la source publique | Montant: NC
;;;;Directeur des ressources humaines;Medimex;Sainte-Foy-les-Lyon (69);;CFNEWS;FINANCE,NEWS,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Tresorier ou credit manager ou RAF | Date: 2026-01-09 | Effectif: NC | CA: environ 30 M EUR en 2025 | Salaire: NC | Source: CFNEWS | Lien: https://www.cfnews.net/L-actualite/LBO/Operations/OBO/Medimex-s-eduque-au-LBO-avec-un-fonds-impact-554347 | Contexte: PME lyonnaise de distribution maintenance et reconditionnement de dispositifs medicaux de reeducation qui realise un OBO avec un fonds a impact (marge d'EBITDA d'environ 15 pourcent). Une operation de dette de ce type declenche la structuration de la fonction financiere (tresorerie reporting credit). | Fonds: fonds a impact non nomme dans la source publique | Montant: NC
;;;;Directeur administratif et financier groupe;FSDV;Chambellay (49);;Business Immo;FINANCE,NEWS,DAF,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: RAF ou assistant DAF ou responsable paie | Date: 2026-04-02 | Effectif: NC | CA: NC | Salaire: NC | Source: Business Immo | Lien: https://www.businessimmo.com/actualites/article/44086425/fsdv-officialise-la-nomination-dun-directeur-administratif-et-financier-groupe | Contexte: Groupe immobilier cote base a Chambellay (Maine-et-Loire) ex-Groupe BMG qui officialise la nomination d'un directeur administratif et financier groupe. Une prise de fonction de DAF groupe precede generalement la structuration des equipes comptables paie et tresorerie.
;;;;Directeur des ressources humaines;FSDV;Chambellay (49);;Business Immo;FINANCE,NEWS,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: RAF ou assistant DAF ou responsable paie | Date: 2026-04-02 | Effectif: NC | CA: NC | Salaire: NC | Source: Business Immo | Lien: https://www.businessimmo.com/actualites/article/44086425/fsdv-officialise-la-nomination-dun-directeur-administratif-et-financier-groupe | Contexte: Groupe immobilier cote base a Chambellay (Maine-et-Loire) ex-Groupe BMG qui officialise la nomination d'un directeur administratif et financier groupe. Une prise de fonction de DAF groupe precede generalement la structuration des equipes comptables paie et tresorerie.
