nom;prenom;email;telephone;poste;entreprise;localisation;linkedin;source;tags;notes
;;;;Directeur commercial;Groupe Derrey;Epinal (88);;Site carriere Derrey;SALES,JOB,DIRECTEUR_COMMERCIAL,500-2000,CONTACT_1,CONTACT_NON_SOURCE;Poste: Technico-commercial H/F CDI | Date: NC | Effectif: 600 | CA: NC | Salaire: NC | Source: Site carriere Derrey + Le Journal des Entreprises | Lien: https://groupe.derrey.fr/job/technico-commercial-h-f-en-cdi-epinal/ | Contexte: Negoce de materiaux de construction et fabrication de betons | siege Etival-Clairefontaine (88) | 600 salaries. Campagne de 26 postes en CDI dans le Grand Est (commerce| logistique| supports) sur Colmar| Hilsenheim| Reichstett| Epinal| Luneville| Laneuveville| Etival-Clairefontaine. Groupe familial independant| poste technico-commercial ouvert a Epinal.
;;;;DRH;Groupe Derrey;Epinal (88);;Site carriere Derrey;SALES,JOB,DRH,500-2000,CONTACT_2,CONTACT_NON_SOURCE;Poste: Technico-commercial H/F CDI | Date: NC | Effectif: 600 | CA: NC | Salaire: NC | Source: Site carriere Derrey + Le Journal des Entreprises | Lien: https://groupe.derrey.fr/job/technico-commercial-h-f-en-cdi-epinal/ | Contexte: Negoce de materiaux de construction et fabrication de betons | siege Etival-Clairefontaine (88) | 600 salaries. Campagne de 26 postes en CDI dans le Grand Est (commerce| logistique| supports) sur Colmar| Hilsenheim| Reichstett| Epinal| Luneville| Laneuveville| Etival-Clairefontaine. Groupe familial independant| poste technico-commercial ouvert a Epinal.
;;;;Directeur commercial France;Chauvin Arnoux;Toulouse (31);;Welcome to the Jungle;SALES,JOB,DIRECTEUR_COMMERCIAL,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Ingenieur Technico-commercial H/F CDI | Date: NC | Effectif: 430 | CA: 57 M EUR (2024) | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/chauvin-arnoux/jobs/ingenieur-technico-commercial-h-f_toulouse | Contexte: Groupe francais independant et familial d'instrumentation de mesure et de test (siege Asnieres-sur-Seine| 11 etablissements| filiales US/Chine/Europe). Recrute un ingenieur technico-commercial itinerant sur la zone Toulouse| avec vehicule de fonction et perspectives d'evolution. 11% du CA reinvesti en R&D.
;;;;DRH;Chauvin Arnoux;Toulouse (31);;Welcome to the Jungle;SALES,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Ingenieur Technico-commercial H/F CDI | Date: NC | Effectif: 430 | CA: 57 M EUR (2024) | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/chauvin-arnoux/jobs/ingenieur-technico-commercial-h-f_toulouse | Contexte: Groupe francais independant et familial d'instrumentation de mesure et de test (siege Asnieres-sur-Seine| 11 etablissements| filiales US/Chine/Europe). Recrute un ingenieur technico-commercial itinerant sur la zone Toulouse| avec vehicule de fonction et perspectives d'evolution. 11% du CA reinvesti en R&D.
;;;;Directeur commercial / Head of Sales;Castalie;Nantes (44);;Welcome to the Jungle;SALES,JOB,HEAD_OF_SALES,50-500,CONTACT_1,CONTACT_NON_SOURCE;Poste: Business Developer Grand Ouest F/H CDI | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/castalie/jobs/business-developer-grand-ouest-f-h_nantes | Contexte: Fabricant-operateur de fontaines a eau micro-filtree en B2B (CHR| entreprises| collectivites)| entreprise a mission. Creation/renfort d'un poste de business developer dedie au Grand Ouest base a Nantes| profil 3-5 ans d'experience vente B2B.
;;;;Talent Acquisition Manager;Castalie;Nantes (44);;Welcome to the Jungle;SALES,JOB,TALENT_ACQUISITION,50-500,CONTACT_2,CONTACT_NON_SOURCE;Poste: Business Developer Grand Ouest F/H CDI | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/castalie/jobs/business-developer-grand-ouest-f-h_nantes | Contexte: Fabricant-operateur de fontaines a eau micro-filtree en B2B (CHR| entreprises| collectivites)| entreprise a mission. Creation/renfort d'un poste de business developer dedie au Grand Ouest base a Nantes| profil 3-5 ans d'experience vente B2B.
;;;;CEO / Fondateur;Logiadapt;Marseille (13);;Welcome to the Jungle;SALES,JOB,FONDATEUR,5-50,CONTACT_1,CONTACT_NON_SOURCE;Poste: Directeur/Directrice Commercial(e) B2B et B2C CDI | Date: NC | Effectif: NC (< 50) | CA: NC | Salaire: 70-80 k EUR (fixe 57-66 k + variable 25% + BSPCE 0|6% du capital) | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/logiadapt/jobs/directeur-ou-directrice-commercial-b2b-et-b2c_marseille | Contexte: Entreprise a impact creee en 2023 (maintien a domicile des seniors| adaptation du logement)| basee a Marseille. Creation du poste de directeur commercial B2B/B2C avec prise de poste annoncee entre juin et septembre 2026 et entree au capital.
;;;;DRH;Logiadapt;Marseille (13);;Welcome to the Jungle;SALES,JOB,DRH,5-50,CONTACT_2,CONTACT_NON_SOURCE;Poste: Directeur/Directrice Commercial(e) B2B et B2C CDI | Date: NC | Effectif: NC (< 50) | CA: NC | Salaire: 70-80 k EUR (fixe 57-66 k + variable 25% + BSPCE 0|6% du capital) | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/logiadapt/jobs/directeur-ou-directrice-commercial-b2b-et-b2c_marseille | Contexte: Entreprise a impact creee en 2023 (maintien a domicile des seniors| adaptation du logement)| basee a Marseille. Creation du poste de directeur commercial B2B/B2C avec prise de poste annoncee entre juin et septembre 2026 et entree au capital.
;;;;Directeur commercial;Ecov;Bordeaux (33);;Welcome to the Jungle;SALES,JOB,DIRECTEUR_COMMERCIAL,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Responsable Commercial Nouvelle-Aquitaine et Centre-Val de Loire H/F CDI | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/ecov/jobs/responsable-commercial-nouvelle-aquitaine-et-centre-val-de-loire-h-f_bordeaux | Contexte: Operateur de lignes de covoiturage du quotidien pour les collectivites. Ouverture d'un poste de responsable commercial couvrant Nouvelle-Aquitaine et Centre-Val de Loire base a Bordeaux| avec prospection active aupres des collectivites : signal d'extension de la couverture commerciale regionale.
;;;;DRH;Ecov;Bordeaux (33);;Welcome to the Jungle;SALES,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Responsable Commercial Nouvelle-Aquitaine et Centre-Val de Loire H/F CDI | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/ecov/jobs/responsable-commercial-nouvelle-aquitaine-et-centre-val-de-loire-h-f_bordeaux | Contexte: Operateur de lignes de covoiturage du quotidien pour les collectivites. Ouverture d'un poste de responsable commercial couvrant Nouvelle-Aquitaine et Centre-Val de Loire base a Bordeaux| avec prospection active aupres des collectivites : signal d'extension de la couverture commerciale regionale.
