nom;prenom;email;telephone;poste;entreprise;localisation;linkedin;source;tags;notes
Glas;Aurelie;;;Directrice Financiere - membre du Comex;VALGO;Petit-Couronne (76);;Daf-Mag.fr;FINANCE,NEWS,DAF,500-2000,CONTACT_1;Poste: Nomination Directrice Financiere + membre du Comex | Date: 2026-09-11 | Effectif: 500-999 salaries (source Societe.com) | CA: 118 723 405 EUR (+4%) | Salaire: NC | Source: Daf-Mag.fr | Lien: https://www.daf-mag.fr/diaporamas/nominations-ces-daf-reperes-ce-vendredi-11-septembre | Contexte: Aurelie Glas nommee Directrice Financiere et membre du Comex en septembre 2026 (ex-Suez, ex-Veolia, debut de carriere en audit). Arrivee d'une DAF issue de grands groupes sur une ETI independante de 500-999 salaries: signal fort de structuration / montee en puissance de la fonction finance (comptabilite et controle de gestion).
Espaillac;Alexandra;;;Directrice des Ressources Humaines;VALGO;Petit-Couronne (76);;FullEnrich (base people);FINANCE,NEWS,DRH,500-2000,CONTACT_2;Poste: Nomination Directrice Financiere + membre du Comex | Date: 2026-09-11 | Effectif: 500-999 salaries (source Societe.com) | CA: 118 723 405 EUR (+4%) | Salaire: NC | Source: Daf-Mag.fr | Lien: https://www.daf-mag.fr/diaporamas/nominations-ces-daf-reperes-ce-vendredi-11-septembre | Contexte: Aurelie Glas nommee Directrice Financiere et membre du Comex en septembre 2026 (ex-Suez, ex-Veolia, debut de carriere en audit). Arrivee d'une DAF issue de grands groupes sur une ETI independante de 500-999 salaries: signal fort de structuration / montee en puissance de la fonction finance (comptabilite et controle de gestion). | NB: identite DRH remontee par la base people FullEnrich (employeur et intitule non recoupes par une source publique - a verifier avant appel).
;;;;Directeur Administratif et Financier;Mesolia;Bordeaux (33);;Taleez;FINANCE,JOB,DAF,EFFECTIF_NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Comptable fournisseurs d'exploitation (H/F) CDI | Date: NC (date de publication non confirmee - job boards inaccessibles) | Effectif: NC | CA: NC | Salaire: 29 000 EUR brut annuel | Source: Taleez | Lien: https://taleez.com/apply/comptable-fournisseurs-d-exploitation-bordeaux-mesolia-cdi | Contexte: Entreprise sociale pour l'habitat (bailleur social) de Nouvelle-Aquitaine. Recrutement d'un Comptable fournisseurs d'exploitation en CDI 37h au siege de Bordeaux. Poste de comptabilite fournisseurs au sein d'une direction financiere structuree.
;;;;Directeur des Ressources Humaines;Mesolia;Bordeaux (33);;Taleez;FINANCE,JOB,DRH,EFFECTIF_NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Comptable fournisseurs d'exploitation (H/F) CDI | Date: NC (date de publication non confirmee - job boards inaccessibles) | Effectif: NC | CA: NC | Salaire: 29 000 EUR brut annuel | Source: Taleez | Lien: https://taleez.com/apply/comptable-fournisseurs-d-exploitation-bordeaux-mesolia-cdi | Contexte: Entreprise sociale pour l'habitat (bailleur social) de Nouvelle-Aquitaine. Recrutement d'un Comptable fournisseurs d'exploitation en CDI 37h au siege de Bordeaux. Poste de comptabilite fournisseurs au sein d'une direction financiere structuree.
;;;;Directeur Administratif et Financier;Groupe Faubourg;Troyes (10);;Taleez;FINANCE,JOB,DAF,EFFECTIF_NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Comptable General (F/H) CDI | Date: NC (date de publication non confirmee - job boards inaccessibles) | Effectif: NC | CA: NC | Salaire: NC | Source: Taleez | Lien: https://taleez.com/apply/comptable-general-f-h-troyes-groupe-faubourg-cdi-1 | Contexte: Groupe auboi recrutant un Comptable General F/H en CDI a Troyes. Recrutement d'un profil de comptabilite generale en interne (et non en cabinet) - signal d'internalisation / renforcement du service comptable.
;;;;Directeur des Ressources Humaines;Groupe Faubourg;Troyes (10);;Taleez;FINANCE,JOB,DRH,EFFECTIF_NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Comptable General (F/H) CDI | Date: NC (date de publication non confirmee - job boards inaccessibles) | Effectif: NC | CA: NC | Salaire: NC | Source: Taleez | Lien: https://taleez.com/apply/comptable-general-f-h-troyes-groupe-faubourg-cdi-1 | Contexte: Groupe auboi recrutant un Comptable General F/H en CDI a Troyes. Recrutement d'un profil de comptabilite generale en interne (et non en cabinet) - signal d'internalisation / renforcement du service comptable.
;;;;President / Directeur General;HBG Helicopteres Groupe;Annemasse (74);;Taleez;FINANCE,JOB,DG,EFFECTIF_NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Comptable (H/F) CDI | Date: NC (date de publication non confirmee - job boards inaccessibles) | Effectif: NC | CA: NC | Salaire: NC | Source: Taleez | Lien: https://taleez.com/apply/comptable-annemasse-hbg-helicopteres-groupe-cdi | Contexte: Groupe independant d'exploitation d'helicopteres base a Annemasse (Haute-Savoie). Recrutement d'un Comptable en CDI au siege - poste de comptabilite generale / unique dans une structure multi-entites.
;;;;Responsable Administratif et Financier;HBG Helicopteres Groupe;Annemasse (74);;Taleez;FINANCE,JOB,RAF,EFFECTIF_NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Comptable (H/F) CDI | Date: NC (date de publication non confirmee - job boards inaccessibles) | Effectif: NC | CA: NC | Salaire: NC | Source: Taleez | Lien: https://taleez.com/apply/comptable-annemasse-hbg-helicopteres-groupe-cdi | Contexte: Groupe independant d'exploitation d'helicopteres base a Annemasse (Haute-Savoie). Recrutement d'un Comptable en CDI au siege - poste de comptabilite generale / unique dans une structure multi-entites.
;;;;Expert-comptable associe;CECCA;Franconville (95);;HappyCab;FINANCE,JOB,HIRING_MANAGER,50-250,CONTACT_1,CONTACT_NON_SOURCE;Poste: Chef de missions expertise comptable H/F (CDI) | Date: NC (annonce active au 2026-09-21 - date de publication non confirmee, sites emploi bloques par le proxy) | Effectif: 120 collaborateurs sur 2 sites (confirme annonce) | CA: NC | Salaire: NC | Source: HappyCab | Lien: https://happycab.fr/entreprise/cecca/offre-emploi/chef-de-missions-f-h-franconville | Contexte: Cabinet independant cree en 2001, 120 collaborateurs sur 2 sites (Franconville 95 et Paris 17e), en forte croissance. Le chef de mission supervisera un portefeuille de 100 dossiers et sera referent technique d'une equipe de 4 a 5 personnes. Une seconde annonce Collaborateur comptable confirme est ouverte sur le site de Paris 17e - double besoin.
;;;;Responsable RH;CECCA;Franconville (95);;HappyCab;FINANCE,JOB,DRH,50-250,CONTACT_2,CONTACT_NON_SOURCE;Poste: Chef de missions expertise comptable H/F (CDI) | Date: NC (annonce active au 2026-09-21 - date de publication non confirmee, sites emploi bloques par le proxy) | Effectif: 120 collaborateurs sur 2 sites (confirme annonce) | CA: NC | Salaire: NC | Source: HappyCab | Lien: https://happycab.fr/entreprise/cecca/offre-emploi/chef-de-missions-f-h-franconville | Contexte: Cabinet independant cree en 2001, 120 collaborateurs sur 2 sites (Franconville 95 et Paris 17e), en forte croissance. Le chef de mission supervisera un portefeuille de 100 dossiers et sera referent technique d'une equipe de 4 a 5 personnes. Une seconde annonce Collaborateur comptable confirme est ouverte sur le site de Paris 17e - double besoin.
