"nom";"prenom";"email";"telephone";"poste";"entreprise";"localisation";"linkedin";"source";"tags";"notes"
"";"";"";"";"";"The Brando";"Tetiaroa (987)";"";"";"HOSPITALITY,JOB,GM,50-500,CONTACT_1,CONTACT_NON_SOURCE";"Poste: Front Office Manager CDI | Date: 2026-08-27 | Effectif: ~150-200 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-316795-Front-Office-Manager-The-Brando-Tetiaroa-Polynesie-francaise.html | Contexte: Éco-resort 5* de luxe, atoll Tetiaroa (Polynésie française) | 35 villas éco-luxe, établissement indépendant fondé par la famille Brando | Recrute Front Office Manager CDI, signal fort de montée en puissance direction hébergement"
"";"";"";"";"";"The Brando";"Tetiaroa (987)";"";"";"HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE";"Poste: Front Office Manager CDI | Date: 2026-08-27 | Effectif: ~150-200 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-316795-Front-Office-Manager-The-Brando-Tetiaroa-Polynesie-francaise.html | Contexte: Éco-resort 5* de luxe, atoll Tetiaroa (Polynésie française) | 35 villas éco-luxe, établissement indépendant fondé par la famille Brando | Recrute Front Office Manager CDI, signal fort de montée en puissance direction hébergement"
"";"";"";"";"";"Hôtel Le Morgane";"Chamonix-Mont-Blanc (74)";"";"";"HOSPITALITY,JOB,DIRECTEUR_HOTEL,50-500,CONTACT_1,CONTACT_NON_SOURCE";"Poste: Chef de réception CDI | Date: 2026-08-20 | Effectif: ~100-150 sal (Temmos Hotels) | CA: ~18M€ (groupe) | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-315352-Chef-de-reception-Hotel-Le-Morgane-chamonix-mont-blanc.html | Contexte: Boutique hôtel 4* montagne, 56 chambres, Chamonix | Temmos Hotels SAS (groupe indépendant 90-150 sal, CA ~18M€) | Hôtel en rénovation automne 2026, recrutement anticipé réouverture hiver"
"";"";"";"";"";"Hôtel Le Morgane";"Chamonix-Mont-Blanc (74)";"";"";"HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE";"Poste: Chef de réception CDI | Date: 2026-08-20 | Effectif: ~100-150 sal (Temmos Hotels) | CA: ~18M€ (groupe) | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-315352-Chef-de-reception-Hotel-Le-Morgane-chamonix-mont-blanc.html | Contexte: Boutique hôtel 4* montagne, 56 chambres, Chamonix | Temmos Hotels SAS (groupe indépendant 90-150 sal, CA ~18M€) | Hôtel en rénovation automne 2026, recrutement anticipé réouverture hiver"
"";"";"";"";"";"Hôtel Le Morgane";"Chamonix-Mont-Blanc (74)";"";"";"HOSPITALITY,JOB,DIRECTEUR_HOTEL,50-500,CONTACT_1,CONTACT_NON_SOURCE";"Poste: Directeur Food & Beverage CDI | Date: 2026-08-20 | Effectif: ~100-150 sal (Temmos Hotels) | CA: ~18M€ (groupe) | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-315354-Directeur-Food-Beverage-Hotel-Le-Morgane-chamonix-mont-blanc.html | Contexte: Double recrutement réception + F&B CDI simultané au Morgane | Signal de restructuration opérationnelle complète avant réouverture | Temmos Hotels groupe indépendant de montagne"
"";"";"";"";"";"Hôtel Le Morgane";"Chamonix-Mont-Blanc (74)";"";"";"HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE";"Poste: Directeur Food & Beverage CDI | Date: 2026-08-20 | Effectif: ~100-150 sal (Temmos Hotels) | CA: ~18M€ (groupe) | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-315354-Directeur-Food-Beverage-Hotel-Le-Morgane-chamonix-mont-blanc.html | Contexte: Double recrutement réception + F&B CDI simultané au Morgane | Signal de restructuration opérationnelle complète avant réouverture | Temmos Hotels groupe indépendant de montagne"
"";"";"";"";"";"Highstay";"Paris (75)";"";"";"HOSPITALITY,JOB,PROPRIETAIRE,5-50,CONTACT_1,CONTACT_NON_SOURCE";"Poste: Gouvernant(e) CDI | Date: 2026-08-21 | Effectif: ~20-50 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-315477-Gouvernant-e-Highstay-Paris.html | Contexte: Collection d'appartements de luxe avec services hôteliers, Paris centre | Fondé en 2020 par 3 entrepreneurs, 32+ propriétés dans 11 immeubles haussmanniens | Concept alternatif palace: gouvernante CDI pour maintien excellence opérationnelle"
"";"";"";"";"";"Highstay";"Paris (75)";"";"";"HOSPITALITY,JOB,DIRECTEUR_HOTEL,5-50,CONTACT_2,CONTACT_NON_SOURCE";"Poste: Gouvernant(e) CDI | Date: 2026-08-21 | Effectif: ~20-50 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-315477-Gouvernant-e-Highstay-Paris.html | Contexte: Collection d'appartements de luxe avec services hôteliers, Paris centre | Fondé en 2020 par 3 entrepreneurs, 32+ propriétés dans 11 immeubles haussmanniens | Concept alternatif palace: gouvernante CDI pour maintien excellence opérationnelle"
"";"";"";"";"";"La Scène Thélème";"Paris (75)";"";"";"HOSPITALITY,JOB,PROPRIETAIRE,5-50,CONTACT_1,CONTACT_NON_SOURCE";"Poste: Maître d'Hôtel CDI | Date: 2026-07-10 | Effectif: ~20-35 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-312454-Maitre-d-Hotel-La-Scene-Theleme--Paris.html | Contexte: Restaurant gastronomique Paris 17e, ambiance théâtrale et salle remarquable | Établissement indépendant de caractère | Recrutement maître d'hôtel CDI signature engagement long terme sur le service"
"";"";"";"";"";"La Scène Thélème";"Paris (75)";"";"";"HOSPITALITY,JOB,DIRECTEUR_SALLE,5-50,CONTACT_2,CONTACT_NON_SOURCE";"Poste: Maître d'Hôtel CDI | Date: 2026-07-10 | Effectif: ~20-35 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-312454-Maitre-d-Hotel-La-Scene-Theleme--Paris.html | Contexte: Restaurant gastronomique Paris 17e, ambiance théâtrale et salle remarquable | Établissement indépendant de caractère | Recrutement maître d'hôtel CDI signature engagement long terme sur le service"
"";"";"";"";"";"Hôtel D'Orsay";"Paris (75)";"";"";"HOSPITALITY,JOB,DIRECTEUR_HOTEL,50-500,CONTACT_1,CONTACT_NON_SOURCE";"Poste: Directeur(ice) d'hôtel CDI | Date: 2026-07-15 | Effectif: ~80-150 sal (groupe Esprit de France) | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-313101-Directeur-ice-d-hotel-Hotel-D-Orsay-Paris.html | Contexte: Boutique hôtel face au Musée d'Orsay, Paris 7e | Esprit de France: groupe indépendant ~10 boutique-hôtels parisiens | Recrutement directeur hôtel CDI, signal de développement de la direction hébergement"
"";"";"";"";"";"Hôtel D'Orsay";"Paris (75)";"";"";"HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE";"Poste: Directeur(ice) d'hôtel CDI | Date: 2026-07-15 | Effectif: ~80-150 sal (groupe Esprit de France) | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-313101-Directeur-ice-d-hotel-Hotel-D-Orsay-Paris.html | Contexte: Boutique hôtel face au Musée d'Orsay, Paris 7e | Esprit de France: groupe indépendant ~10 boutique-hôtels parisiens | Recrutement directeur hôtel CDI, signal de développement de la direction hébergement"
"";"";"";"";"";"La Réserve Paris";"Paris (75)";"";"";"HOSPITALITY,JOB,DIRECTEUR_HOTEL,50-500,CONTACT_1,CONTACT_NON_SOURCE";"Poste: Sous-chef pâtissier CDI | Date: 2026-06-15 | Effectif: ~150-200 sal (Michel Reybier Collection) | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-308698-Sous-chef-patissier-La-Reserve-Paris-Paris.html | Contexte: Palace indépendant 5* Paris 16e, 40 chambres et suites | Michel Reybier Collection (La Réserve Paris + Genève + Ramatuelle) | Chef pâtisserie: profil étoilé requis pour restaurant gastronomique"
"";"";"";"";"";"La Réserve Paris";"Paris (75)";"";"";"HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE";"Poste: Sous-chef pâtissier CDI | Date: 2026-06-15 | Effectif: ~150-200 sal (Michel Reybier Collection) | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-308698-Sous-chef-patissier-La-Reserve-Paris-Paris.html | Contexte: Palace indépendant 5* Paris 16e, 40 chambres et suites | Michel Reybier Collection (La Réserve Paris + Genève + Ramatuelle) | Chef pâtisserie: profil étoilé requis pour restaurant gastronomique"
"";"";"";"";"";"Hôtel Chais Monnet";"Cognac (16)";"";"";"HOSPITALITY,JOB,DIRECTEUR_HOTEL,50-500,CONTACT_1,CONTACT_NON_SOURCE";"Poste: Night Auditor CDI | Date: 2026-04-15 | Effectif: ~100-150 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-297166-Night-auditor-Receptionniste-de-nuit-Hotel-Chais-Monnet-Cognac-moteurRecherche.html | Contexte: Hôtel 5* patrimonial, ouvert 2018, 92 chambres et suites, Cognac | Spa + restaurant gastronomique L'Yeuse, ancienne distillerie Martell réhabilitée | Établissement indépendant premium, signal nuit et réception active"
"";"";"";"";"";"Hôtel Chais Monnet";"Cognac (16)";"";"";"HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE";"Poste: Night Auditor CDI | Date: 2026-04-15 | Effectif: ~100-150 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-297166-Night-auditor-Receptionniste-de-nuit-Hotel-Chais-Monnet-Cognac-moteurRecherche.html | Contexte: Hôtel 5* patrimonial, ouvert 2018, 92 chambres et suites, Cognac | Spa + restaurant gastronomique L'Yeuse, ancienne distillerie Martell réhabilitée | Établissement indépendant premium, signal nuit et réception active"
"";"";"";"";"";"Hôtel Restaurant La Co(o)rniche";"La Teste-de-Buch (33)";"";"";"HOSPITALITY,JOB,DIRECTEUR_HOTEL,50-500,CONTACT_1,CONTACT_NON_SOURCE";"Poste: Réceptionniste de nuit / Night Auditor CDI | Date: 2026-06-20 | Effectif: ~50-100 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-309426-Receptionniste-de-nuit-night-auditor-CDI-Hotel-Restaurant-La-Co-o-rniche-La-Teste-de-Buch.html | Contexte: Hôtel-restaurant iconique sur la Dune du Pilat face au Bassin d'Arcachon | Établissement unique de caractère, ambiance balnéaire haut de gamme | Recrutement nuit CDI = stabilité équipe réception tout au long de l'année"
"";"";"";"";"";"Hôtel Restaurant La Co(o)rniche";"La Teste-de-Buch (33)";"";"";"HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE";"Poste: Réceptionniste de nuit / Night Auditor CDI | Date: 2026-06-20 | Effectif: ~50-100 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-309426-Receptionniste-de-nuit-night-auditor-CDI-Hotel-Restaurant-La-Co-o-rniche-La-Teste-de-Buch.html | Contexte: Hôtel-restaurant iconique sur la Dune du Pilat face au Bassin d'Arcachon | Établissement unique de caractère, ambiance balnéaire haut de gamme | Recrutement nuit CDI = stabilité équipe réception tout au long de l'année"
"";"";"";"";"";"Hôtel Miss Fuller";"Paris (75)";"";"";"HOSPITALITY,JOB,PROPRIETAIRE,5-50,CONTACT_1,CONTACT_NON_SOURCE";"Poste: Sous chef pâtissier CDI | Date: 2026-04-25 | Effectif: ~30-60 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-300911-Chef-de-partie-ptissier-Htel-Miss-Fuller-Paris-moteurRecherche.html | Contexte: Boutique hôtel de caractère Paris, inspiré de la danseuse Loie Fuller | Concept hôtelier indépendant unique mêlant art et hospitalité | Recrutement pâtisserie CDI: signal d'ancrage et investissement cuisine"
"";"";"";"";"";"Hôtel Miss Fuller";"Paris (75)";"";"";"HOSPITALITY,JOB,DIRECTEUR_HOTEL,5-50,CONTACT_2,CONTACT_NON_SOURCE";"Poste: Sous chef pâtissier CDI | Date: 2026-04-25 | Effectif: ~30-60 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-300911-Chef-de-partie-ptissier-Htel-Miss-Fuller-Paris-moteurRecherche.html | Contexte: Boutique hôtel de caractère Paris, inspiré de la danseuse Loie Fuller | Concept hôtelier indépendant unique mêlant art et hospitalité | Recrutement pâtisserie CDI: signal d'ancrage et investissement cuisine"
"Pelé";"Christophe";"";"";"Chef 2 étoiles Michelin";"Le Clarence";"Paris (75)";"";"Presse / Guide Michelin";"HOSPITALITY,JOB,CHEF_CUISINE,5-50,CONTACT_1";"Poste: Maître d'Hôtel Expérimenté CDI | Date: 2026-04-20 | Effectif: ~30-50 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-299894-Maitre-d-hotel-Experimente-Le-Clarence-Paris.html | Contexte: Restaurant gastronomique 2 étoiles Michelin, hôtel particulier Paris 8e | Propriété de la famille de Luxembourg (Domaine Clarence Dillon, Château Haut-Brion) | Établissement d'exception, recrutement maître d'hôtel expérimenté CDI"
"";"";"";"";"";"Le Clarence";"Paris (75)";"";"";"HOSPITALITY,JOB,GM,5-50,CONTACT_2,CONTACT_NON_SOURCE";"Poste: Maître d'Hôtel Expérimenté CDI | Date: 2026-04-20 | Effectif: ~30-50 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-299894-Maitre-d-hotel-Experimente-Le-Clarence-Paris.html | Contexte: Restaurant gastronomique 2 étoiles Michelin, hôtel particulier Paris 8e | Propriété de la famille de Luxembourg (Domaine Clarence Dillon, Château Haut-Brion) | Établissement d'exception, recrutement maître d'hôtel expérimenté CDI"
"";"";"";"";"";"Relais de Chambord";"Chambord (41)";"";"";"HOSPITALITY,JOB,DIRECTEUR_HOTEL,50-500,CONTACT_1,CONTACT_NON_SOURCE";"Poste: Front Office Manager CDI | Date: 2026-03-01 | Effectif: ~60-80 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-293501-Front-Office-Manager-Relais-de-Chambord-Chambord.html | Contexte: Hôtel 5* Small Luxury Hotels of the World, seul hôtel dans le domaine du Château de Chambord | 55 chambres, restaurant étoilé, cadre exceptionnel sur la Loire | Recrutement FOM CDI: structuration de la réception 5 étoiles"
"";"";"";"";"";"Relais de Chambord";"Chambord (41)";"";"";"HOSPITALITY,JOB,DRH,50-500,CONTACT_2,CONTACT_NON_SOURCE";"Poste: Front Office Manager CDI | Date: 2026-03-01 | Effectif: ~60-80 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-293501-Front-Office-Manager-Relais-de-Chambord-Chambord.html | Contexte: Hôtel 5* Small Luxury Hotels of the World, seul hôtel dans le domaine du Château de Chambord | 55 chambres, restaurant étoilé, cadre exceptionnel sur la Loire | Recrutement FOM CDI: structuration de la réception 5 étoiles"
"";"";"";"";"";"Hôtel Royal Garden Champs Elysées";"Paris (75)";"";"";"HOSPITALITY,JOB,DIRECTEUR_HOTEL,50-500,CONTACT_1,CONTACT_NON_SOURCE";"Poste: Directeur(ice) d'hôtel CDI | Date: 2026-06-22 | Effectif: ~80-120 sal | CA: NC | Salaire: NC | Source: Journal des Palaces | Lien: https://www.journaldespalaces.com/carriere/offre-309831-Directeur-ice-d-hotel-Hotel-Royal-Garden-Champs-Elysees-Paris-Paris.html | Contexte: Hôtel 4* indépendant, Rue du Faubourg Saint-Honoré Paris 8e | Établissement de prestige privé, Triangle d'Or | Recrutement directeur CDI, signal de renouvellement de la direction opérationnelle"
