nom;prenom;email;telephone;poste;entreprise;localisation;linkedin;source;tags;notes
Tancogne;Ludovic;;;Dirigeant;Groupe Tancogne;Le Lude (72);https://www.linkedin.com/in/ludovic-tancogne-91275216/;HelloWork;SALES,JOB,CEO,NC,CONTACT_1;Poste: Technico-commercial / Charge d'affaires | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: HelloWork | Lien: https://www.hellowork.com/fr-fr/entreprises/tancogne-164758.html | Contexte: PME familiale d'usinage de precision - chaudronnerie et sous-ensembles mecaniques (depuis 1975) qui recrute un technico-commercial presente comme un maillon essentiel de son developpement.
;;;;DRH / Responsable RH;Groupe Tancogne;Le Lude (72);;HelloWork;SALES,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Technico-commercial / Charge d'affaires | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: HelloWork | Lien: https://www.hellowork.com/fr-fr/entreprises/tancogne-164758.html | Contexte: PME familiale d'usinage de precision - chaudronnerie et sous-ensembles mecaniques (depuis 1975) qui recrute un technico-commercial presente comme un maillon essentiel de son developpement.
;;;;Directeur commercial;Ternois Fermetures;Roncq (59);;HelloWork;SALES,JOB,DIRECTEUR_COMMERCIAL,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Technico-commercial Menuiserie H/F (CDI) | Date: 2026-07-30 | Effectif: NC | CA: NC | Salaire: NC | Source: HelloWork | Lien: https://www.hellowork.com/fr-fr/emplois/81887146.html | Contexte: Fabricant-installateur de menuiseries et fermetures dans les Hauts-de-France qui recrute un technico-commercial itinerant en CDI.
;;;;DRH / Responsable RH;Ternois Fermetures;Roncq (59);;HelloWork;SALES,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Technico-commercial Menuiserie H/F (CDI) | Date: 2026-07-30 | Effectif: NC | CA: NC | Salaire: NC | Source: HelloWork | Lien: https://www.hellowork.com/fr-fr/emplois/81887146.html | Contexte: Fabricant-installateur de menuiseries et fermetures dans les Hauts-de-France qui recrute un technico-commercial itinerant en CDI.
;;;;Directeur commercial;Etablissements Gindre Duchavany;Pont-de-Cheruy (38);;HelloWork;SALES,JOB,DIRECTEUR_COMMERCIAL,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Responsable commercial grands comptes H/F (CDI) | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: HelloWork | Lien: https://www.hellowork.com/fr-fr/emplois/79741194.html | Contexte: Industriel de la transformation du cuivre (Isere) qui recrute pour developper - fideliser et optimiser un portefeuille de grands comptes et de clients internationaux.
;;;;DRH / Responsable RH;Etablissements Gindre Duchavany;Pont-de-Cheruy (38);;HelloWork;SALES,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Responsable commercial grands comptes H/F (CDI) | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: HelloWork | Lien: https://www.hellowork.com/fr-fr/emplois/79741194.html | Contexte: Industriel de la transformation du cuivre (Isere) qui recrute pour developper - fideliser et optimiser un portefeuille de grands comptes et de clients internationaux.
;;;;Directeur commercial;Groupe Odice;Alpes-de-Haute-Provence (04);;HelloWork;SALES,JOB,DIRECTEUR_COMMERCIAL,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Responsable commercial H/F (CDI) | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: HelloWork | Lien: https://www.hellowork.com/fr-fr/emplois/80297208.html | Contexte: Groupe industriel des Alpes-de-Haute-Provence - poste melant developpement commercial - relation clients et pilotage operationnel d'une equipe SAV.
;;;;DRH / Responsable RH;Groupe Odice;Alpes-de-Haute-Provence (04);;HelloWork;SALES,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Responsable commercial H/F (CDI) | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: HelloWork | Lien: https://www.hellowork.com/fr-fr/emplois/80297208.html | Contexte: Groupe industriel des Alpes-de-Haute-Provence - poste melant developpement commercial - relation clients et pilotage operationnel d'une equipe SAV.
;;;;Directeur commercial;Bionature;Calvados (14);;HelloWork;SALES,JOB,DIRECTEUR_COMMERCIAL,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Technico-commercial H/F (CDI) | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: HelloWork | Lien: https://www.hellowork.com/fr-fr/emplois/82279782.html | Contexte: PME normande qui recrute un technico-commercial itinerant en CDI sur le Calvados (annonce mise en ligne mi-aout 2026).
;;;;DRH / Responsable RH;Bionature;Calvados (14);;HelloWork;SALES,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Technico-commercial H/F (CDI) | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: HelloWork | Lien: https://www.hellowork.com/fr-fr/emplois/82279782.html | Contexte: PME normande qui recrute un technico-commercial itinerant en CDI sur le Calvados (annonce mise en ligne mi-aout 2026).
