nom;prenom;email;telephone;poste;entreprise;localisation;linkedin;source;tags;notes
;;;;Head of Sales;Leeto;Paris (75);;Welcome to the Jungle;SALES_SAAS,JOB,HEAD_OF_SALES,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Account Executive (H/F) | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/leeto/jobs/account-executive-h-f_paris | Contexte: Editeur SaaS d'une plateforme tout-en-un pour les CSE. Recrute un Account Executive confirme (4 ans d'experience minimum) en CDI a Paris avec prise de poste annoncee au 30/09/2026. Date de publication non verifiable - job board bloque par le proxy.
;;;;Talent Acquisition Manager;Leeto;Paris (75);;Welcome to the Jungle;SALES_SAAS,JOB,TALENT_ACQUISITION,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Account Executive (H/F) | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/leeto/jobs/account-executive-h-f_paris | Contexte: Editeur SaaS d'une plateforme tout-en-un pour les CSE. Recrute un Account Executive confirme (4 ans d'experience minimum) en CDI a Paris avec prise de poste annoncee au 30/09/2026. Date de publication non verifiable - job board bloque par le proxy.
;;;;Chief Revenue Officer;DiliTrust;Paris (75);;Welcome to the Jungle;SALES_SAAS,JOB,CRO,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Account Executive France | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/dilitrust/jobs/account-executive-france_paris_DILIT_2rQeLam | Contexte: Editeur SaaS francais de solutions juridiques et de gouvernance. Recrute un Account Executive France en CDI a Paris - 4 ans d'experience exigee en vente de solutions SaaS enterprise. Date de publication non verifiable - job board bloque par le proxy.
;;;;Directeur des Ressources Humaines;DiliTrust;Paris (75);;Welcome to the Jungle;SALES_SAAS,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Account Executive France | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/dilitrust/jobs/account-executive-france_paris_DILIT_2rQeLam | Contexte: Editeur SaaS francais de solutions juridiques et de gouvernance. Recrute un Account Executive France en CDI a Paris - 4 ans d'experience exigee en vente de solutions SaaS enterprise. Date de publication non verifiable - job board bloque par le proxy.
;;;;VP Sales;iAdvize;Nantes (44);;Welcome to the Jungle;SALES_SAAS,JOB,VP_SALES,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Key Account Executive H/F | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/iadvize/jobs/key-account-executive-h-f_nantes_IADVI_1AWaXGw | Contexte: Editeur SaaS nantais de conversational commerce. Deux postes commerciaux ouverts en CDI a Nantes - Key Account Executive et Account Executive - sur l'acquisition de nouveaux clients sur le marche europeen. Date de publication non verifiable - job board bloque par le proxy.
;;;;Talent Acquisition Manager;iAdvize;Nantes (44);;Welcome to the Jungle;SALES_SAAS,JOB,TALENT_ACQUISITION,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Key Account Executive H/F | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/iadvize/jobs/key-account-executive-h-f_nantes_IADVI_1AWaXGw | Contexte: Editeur SaaS nantais de conversational commerce. Deux postes commerciaux ouverts en CDI a Nantes - Key Account Executive et Account Executive - sur l'acquisition de nouveaux clients sur le marche europeen. Date de publication non verifiable - job board bloque par le proxy.
;;;;Head of Sales;Sante Academie;Lyon (69);;Welcome to the Jungle;SALES_SAAS,JOB,HEAD_OF_SALES,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Account Executive (H/F) | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/sante-academie/jobs/account-executive-h-f | Contexte: Plateforme SaaS de formation pour les professionnels et etablissements de sante. Recrute un Account Executive en CDI a Lyon pour renforcer une equipe etablissements de 5 personnes. Date de publication non verifiable - job board bloque par le proxy.
;;;;Responsable Ressources Humaines;Sante Academie;Lyon (69);;Welcome to the Jungle;SALES_SAAS,JOB,DRH,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Account Executive (H/F) | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/fr/companies/sante-academie/jobs/account-executive-h-f | Contexte: Plateforme SaaS de formation pour les professionnels et etablissements de sante. Recrute un Account Executive en CDI a Lyon pour renforcer une equipe etablissements de 5 personnes. Date de publication non verifiable - job board bloque par le proxy.
;;;;Chief Revenue Officer;Partoo;Paris (75);;Welcome to the Jungle;SALES_SAAS,JOB,CRO,NC,CONTACT_1,CONTACT_NON_SOURCE;Poste: Customer Success Manager (Key Accounts) | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/en/companies/partoo/jobs/customer-success-manager-key-accounts-cdi-paris-h-f-x_paris | Contexte: Editeur SaaS francais de solutions de visibilite locale et d'avis clients pour reseaux de points de vente. Recrute un Customer Success Manager Grands Comptes en CDI a Paris. Date de publication non verifiable - job board bloque par le proxy.
;;;;Talent Acquisition Manager;Partoo;Paris (75);;Welcome to the Jungle;SALES_SAAS,JOB,TALENT_ACQUISITION,NC,CONTACT_2,CONTACT_NON_SOURCE;Poste: Customer Success Manager (Key Accounts) | Date: NC | Effectif: NC | CA: NC | Salaire: NC | Source: Welcome to the Jungle | Lien: https://www.welcometothejungle.com/en/companies/partoo/jobs/customer-success-manager-key-accounts-cdi-paris-h-f-x_paris | Contexte: Editeur SaaS francais de solutions de visibilite locale et d'avis clients pour reseaux de points de vente. Recrute un Customer Success Manager Grands Comptes en CDI a Paris. Date de publication non verifiable - job board bloque par le proxy.
